,depth_fre_game_iter_20,depth_fre_game_iter_31,_runtime,resource/width_resource_usage,Win_Rate/self_play,depth_fre_game_iter_100,resource/width,entropy,resource/depth,resource/total_resource_usage,resource/depth_ratio,resource/depth_resource_usage,_step,resource/remain_resource_ratio,_timestamp,depth_fre_game_iter_10,resource/remain_resource,loss,Win_Rate/Evaluate,depth_fre_game_iter_1,depth_fre_game_iter_50,resource/width_ratio,resource/total_planning_depth
89,,,3022.649766204,,,,,,,,,,256239.0,,1736279048.27543,1.0,,,,,,,
90,,,3025.547944215,,,,,,,,,,257725.0,,1736279051.1736584,1.0,,,,,,,
91,,,3031.334812877,,,,,,,,,,261952.0,,1736279056.9605105,1.0,,,,,,,
92,,,3039.839543344,,,,,,,,,,267979.0,,1736279065.465244,1.0,,,,,,,
93,,,3040.124871732,,,,,,,,,,268179.0,,1736279065.750583,1.0,,,,,,,
94,,,3040.487419556,,,,,,,,,,268446.0,,1736279066.1131208,1.0,,,,,,,
95,,,3041.426469402,,,,,,,,,,269144.0,,1736279067.052152,1.0,,,,,,,
96,,,3042.725762127,,,,,,,,,,270020.0,,1736279068.3514113,1.0,,,,,,,
97,,,3045.959716396,,,,,,,,,,272332.0,,1736279071.3667982,2.0,,,,,,,
98,,,3047.316187419,,,,,,,,,,273507.0,,1736279072.9419067,2.0,,,,,,,
99,,,3049.199425047,,,,,,,,,,274843.0,,1736279074.8251228,2.0,,,,,,,
100,,,3050.655201122,,,,,,,,,,275920.0,,1736279076.2809172,1.0,,,,,,,
101,,,3056.134227346,,,,,,,,,,279959.0,,1736279081.7599328,1.0,,,,,,,
102,,,3056.996940874,,,,,,,,,,280563.0,,1736279082.6226497,1.0,,,,,,,
103,,,3059.524298071,,,,,,,,,,282245.0,,1736279085.150016,2.0,,,,,,,
104,,,3067.665619466,,,,,,,,,,287275.0,,1736279093.2912898,2.0,,,,,,,
105,,,3077.661528024,,,,,,,,,,292106.0,,1736279103.2872036,1.0,,,,,,,
106,,,3083.520319023,,,,,,,,,,295005.0,,1736279109.145989,1.0,,,,,,,
107,,,3090.501322259,,,,,,,,,,298569.0,,1736279116.1269805,1.0,,,,,,,
108,,,3095.232551775,,,,,,,,,,300953.0,,1736279120.8582428,2.0,,,,,,,
109,,,3098.008799403,,,,,,,,,,302329.0,,1736279123.6344817,1.0,,,,,,,
110,,,3098.822462993,,,,,,,,,,302776.0,,1736279124.4481375,1.0,,,,,,,
111,,,3099.346716167,,,,,,,,,,303071.0,,1736279124.972387,1.0,,,,,,,
112,,,3099.84723116,,,,,,,,,,303358.0,,1736279125.4729078,1.0,,,,,,,
113,,,3099.894801786,,,,,,,,,,303387.0,,1736279125.5204885,2.0,,,,,,,
114,,,3107.5166067,,,,,,,,,,307167.0,,1736279133.1422205,1.0,,,,,,,
115,,,3110.013332416,,,,,,,,,,308465.0,,1736279135.6389987,1.0,,,,,,,
116,,,3110.820731291,,,,,,,,,,308829.0,,1736279136.4272263,1.0,,,,,,,
117,,,3112.225718595,138105.0,,,1944.0,,81.0,143775.0,0.039436345426218565,5670.0,309553.0,0.013888888888888888,1736279137.8513243,,2025.0,,,,,0.9605566993100378,70.0
118,,,3112.831322237,,,,,,,,,,309880.0,,1736279138.4569871,1.0,,,,,,,
119,,,3114.55043921,,,,,,,,,,310684.0,,1736279140.1761243,2.0,,,,,,,
120,,,3115.065341432,,,,,,,,,,310943.0,,1736279140.6910322,2.0,,,,,,,
121,,,3120.462321905,,,,,,,,,,313480.0,,1736279146.0879972,1.0,,,,,,,
122,,,3120.961728726,,,,,,,,,,313648.0,,1736279146.417612,2.0,,,,,,,
123,,,3121.707367533,,,,,,,,,,314131.0,,1736279147.3330548,2.0,,,,,,,
124,,,3127.166375026,,,,,,,,,,317031.0,,1736279152.7920413,1.0,,,,,,,
125,,,3128.835870073,,,,,,,,,,317800.0,,1736279154.4615412,1.0,,,,,,,
126,,,3134.324027099,,,,,,,,,,320521.0,,1736279159.949689,1.0,,,,,,,
127,,,3138.412913076,,,,,,,,,,322546.0,,1736279164.038587,1.0,,,,,,,
128,,,3140.720805654,,,,,,,,,,323818.0,,1736279166.346479,1.0,,,,,,,
129,,,3143.478103662,,,,,,,,,,325088.0,,1736279169.1037881,2.0,,,,,,,
130,,,3151.289634452,,,,,,,,,,328951.0,,1736279176.9152806,1.0,,,,,,,
131,,,3154.901878855,,,,,,,,,,330692.0,,1736279180.5275595,2.0,,,,,,,
132,,,3155.691808544,,,,,,,,,,331128.0,,1736279181.317498,2.0,,,,,,,
133,,,3156.400069139,,,,,,,,,,331496.0,,1736279182.0257282,1.0,,,,,,,
134,,,3161.219130517,,,,,,,,,,333800.0,,1736279186.8448076,1.0,,,,,,,
135,,,3162.134127027,,,,,,,,,,334295.0,,1736279187.7597814,1.0,,,,,,,
136,,,3162.584426531,,,,,,,,,,334549.0,,1736279188.2101135,2.0,,,,,,,
137,,,3169.62508408,,,,,,,,,,338010.0,,1736279195.250755,1.0,,,,,,,
138,,,3171.311562801,,,,,,,,,,338912.0,,1736279196.9372928,2.0,,,,,,,
139,,,3174.723340971,,,,,,,,,,340672.0,,1736279200.3490136,1.0,,,,,,,
140,,,3177.951048153,,,,,,,,,,342239.0,,1736279203.5767152,1.0,,,,,,,
141,,,3635.601041284,140211.0,,,2592.0,,81.0,144504.0,0.029708314591190617,4293.0,346248.0,0.008888888888888889,1736279661.226623,,1296.0,,,,,0.970284765233037,53.0
142,,,4567.549119694,138672.0,,,2268.0,,81.0,143532.0,0.03385980924247386,4860.0,351958.0,0.015555555555555555,1736280593.1747246,,2268.0,,,,,0.9661332237185873,60.0
143,,,4723.633763001,140292.0,,,2187.0,,81.0,145395.0,0.035097251643786624,5103.0,353037.0,0.002777777777777778,1736280749.2593267,,405.0,,,,,0.9648958705879116,63.0
144,,,4807.917928765,137619.0,,,1458.0,,81.0,145233.0,0.05242574052907721,7614.0,353497.0,0.0038888888888888888,1736280833.5435042,,567.0,,,,,0.9475673740308743,94.0
145,,,4998.328091165,140778.0,,,2511.0,,81.0,145233.0,0.030674635415949433,4455.0,354773.0,0.0038888888888888888,1736281023.9536996,,567.0,,,,,0.969318479144002,55.0
146,,,5803.065217828,139320.0,,,2673.0,,81.0,143451.0,0.028797088921729917,4131.0,359880.0,0.01611111111111111,1736281828.690821,,2349.0,,,,,0.9711959401054011,51.0
147,1.0,,5886.13376863,,,,,,,,,,364360.0,,1736281911.7594643,,,,,,,,
148,1.0,,5890.685216697,,,,,,,,,,367260.0,,1736281916.3109264,,,,,,,,
149,1.0,,5900.147457517,,,,,,,,,,374193.0,,1736281925.7731717,,,,,,,,
150,2.0,,5900.177301085,,,,,,,,,,374218.0,,1736281925.8030202,,,,,,,,
151,1.0,,5909.522439383,,,,,,,,,,380942.0,,1736281935.1481373,,,,,,,,
152,1.0,,5918.514633888,,,,,,,,,,386543.0,,1736281944.1402924,,,,,,,,
153,2.0,,5925.727944075,,,,,,,,,,390142.0,,1736281951.353634,,,,,,,,
154,1.0,,5925.747464648,,,,,,,,,,390151.0,,1736281951.3731408,,,,,,,,
155,2.0,,5930.570472736,,,,,,,,,,392462.0,,1736281956.1961613,,,,,,,,
156,1.0,,5930.868826361,,,,,,,,,,392617.0,,1736281956.4945014,,,,,,,,
157,2.0,,5938.12805731,,,,,,,,,,396065.0,,1736281963.753742,,,,,,,,
158,2.0,,5942.535119972,,,,,,,,,,398123.0,,1736281968.1607552,,,,,,,,
159,1.0,,5946.74216926,,,,,,,,,,400136.0,,1736281972.3678102,,,,,,,,
160,1.0,,5957.638149618,,,,,,,,,,405657.0,,1736281983.263828,,,,,,,,
161,1.0,,5959.942901362,,,,,,,,,,407069.0,,1736281985.5685713,,,,,,,,
162,5.0,,5968.364495935,,,,,,,,,,413373.0,,1736281993.9902053,,,,,,,,
