,resource/depth_ratio,resource/depth,resource/width_ratio,Win_Rate/Evaluate,_step,loss,resource/width,planning_depth/game_iter_1,planning_depth/game_iter_100,planning_depth/game_iter_50,resource/depth_resource_usage,resource/total_planning_depth,resource/total_resource_usage,planning_depth/game_iter_20,_runtime,planning_depth/game_iter_10,resource/width_resource_usage,entropy,_timestamp,Win_Rate/self_play,planning_depth/game_iter_31
88,,,,,156252,,,,,,,,,,1903.953232765,2.0,,,1736074451.2410343,,
89,,,,,161488,,,,,,,,,,1914.61668353,2.0,,,1736074461.9044971,,
90,,,,,165888,,,,,,,,,,1923.54906606,2.0,,,1736074470.8368754,,
91,,,,,165982,,,,,,,,,,1923.725414641,2.0,,,1736074471.013215,,
92,,,,,166635,,,,,,,,,,1925.091085737,2.0,,,1736074472.3789008,,
93,,,,,168270,,,,,,,,,,1928.369965653,2.0,,,1736074475.6577528,,
94,,,,,168818,,,,,,,,,,1929.471643343,1.0,,,1736074476.7594569,,
95,,,,,170053,,,,,,,,,,1932.019826855,3.0,,,1736074479.3076298,,
96,,,,,170370,,,,,,,,,,1932.626325354,3.0,,,1736074479.9141402,,
97,,,,,171545,,,,,,,,,,1934.985439515,2.0,,,1736074482.2732341,,
98,,,,,171665,,,,,,,,,,1935.232282506,3.0,,,1736074482.5200927,,
99,,,,,172483,,,,,,,,,,1936.937766364,2.0,,,1736074484.2255795,,
100,,,,,179620,,,,,,,,,,1951.421822675,3.0,,,1736074498.709632,,
101,,,,,180144,,,,,,,,,,1952.454072591,3.0,,,1736074499.7418861,,
102,,,,,184553,,,,,,,,,,1961.419100268,3.0,,,1736074508.706908,,
103,,,,,186031,,,,,,,,,,1964.524506412,2.0,,,1736074511.8123214,,
104,,,,,186534,,,,,,,,,,1965.525681312,3.0,,,1736074512.8134863,,
105,,,,,186909,,,,,,,,,,1966.401360561,3.0,,,1736074513.6891656,,
106,,,,,189136,,,,,,,,,,1970.98096459,3.0,,,1736074518.2687738,,
107,,,,,189639,,,,,,,,,,1971.989205819,2.0,,,1736074519.2770188,,
108,0.02965599051008304,27.0,0.970344009489917,,191176,,864.0,,,,1350.0,50.0,45522.0,,1975.198927515,,44172.0,,1736074522.4867215,,
109,0.06060606060606061,27.0,0.9393939393939394,,192008,,405.0,,,,1350.0,50.0,22275.0,,1976.986350951,,20925.0,,1736074524.274153,,
110,,,,,193942,,,,,,,,,,1981.062318558,2.0,,,1736074528.1754751,,
111,,,,,196833,,,,,,,,,,1986.859179018,3.0,,,1736074534.1469903,,
112,,,,,200716,,,,,,,,37179.0,,2136.658560039,,,,1736074683.946337,,
113,,,,,203895,,,,,,,,46899.0,,2297.097647964,,,,1736074844.3854384,,
114,,,,,204387,,,,,,,,48276.0,,2321.898882166,,,,1736074869.186638,,
115,0.06329113924050633,27.0,0.9367088607594937,,207631,,351.0,,,,1350.0,50.0,21330.0,,2485.75851692,,19980.0,,1736075033.0462267,,
116,0.02796420581655481,27.0,0.9720357941834452,,208979,,918.0,,,,1350.0,50.0,48276.0,,2553.741872507,,46926.0,,1736075101.029525,,
117,0.04557885141294439,27.0,0.9544211485870556,,209447,,567.0,,,,1350.0,50.0,29619.0,,2577.677855754,,28269.0,,1736075124.965558,,
118,,,,60.0,209993,,,,,,,,,,2606.014561851,,,,1736075153.302387,,
119,,,,,210509,,,,,,,,31644.0,,2632.489989977,,,,1736075179.7777286,,
120,,,,,211791,,,,,,,,48276.0,,2697.311775357,,,,1736075244.5995471,,
121,,,,,212457,,,,,,,,39960.0,,2730.978412575,,,,1736075278.2662032,,
122,0.04258943781942078,27.0,0.9574105621805792,,213390,,594.0,,,,1350.0,50.0,31698.0,,2778.636628491,,30348.0,,1736075325.924313,,
123,0.02965599051008304,27.0,0.970344009489917,,215053,,864.0,,,,1350.0,50.0,45522.0,,2862.753467276,,44172.0,,1736075410.0411234,,
124,0.04557885141294439,27.0,0.9544211485870556,,215493,,567.0,,,,1350.0,50.0,29619.0,,2884.63599114,,28269.0,,1736075431.9236698,,
125,0.03263707571801567,27.0,0.9673629242819843,,216477,,783.0,,,,1350.0,50.0,41364.0,,2934.345799242,,40014.0,,1736075481.6334689,,
126,,,,,216934,,,,,,,,39987.0,,2957.285764258,,,,1736075504.5735424,,
127,0.053022269353128315,27.0,0.9469777306468717,,219346,,486.0,,,,1350.0,50.0,25461.0,,3079.419024836,,24111.0,,1736075626.7066631,,
128,0.03498950314905528,27.0,0.9650104968509448,,219894,,729.0,,,,1350.0,50.0,38583.0,,3106.915833374,,37233.0,,1736075654.2035348,,
129,,,,,222176,,,,,,,,31077.0,,3222.973770325,,,,1736075770.261568,,
130,0.06188118811881188,27.0,0.9381188118811881,,223725,,432.0,,,,1350.0,50.0,21816.0,,3301.228094954,,20466.0,,1736075848.515762,,
131,0.03915426781519186,27.0,0.9608457321848082,,228888,,648.0,,,,1350.0,50.0,34479.0,,3564.467156794,,33129.0,,1736076111.75485,,
132,0.036231884057971016,27.0,0.9637681159420289,,229078,,702.0,,,,1350.0,50.0,37260.0,,3574.354799259,,35910.0,,1736076121.6424837,,
133,,,,,230628,,,,,,,,42741.0,,3653.598046114,,,,1736076200.8858225,,
134,,,,,230842,,,,,,,,33021.0,,3664.480366571,,,,1736076211.7681665,,
135,0.04081632653061224,27.0,0.9591836734693877,,231855,,621.0,,,,1350.0,50.0,33075.0,,3715.599629863,,31725.0,,1736076262.887347,,
136,,,,,233056,,,,,,,,45522.0,,3776.610934552,,,,1736076323.8986807,,
137,,,,,234261,,,,,,,,,3.0,3795.519003477,,,,1736076342.8068116,,
138,,,,,234998,,,,,,,,,3.0,3797.101216544,,,,1736076344.3890133,,
139,,,,,236385,,,,,,,,,3.0,3800.005842987,,,,1736076347.293649,,
140,,,,,241688,,,,,,,,,2.0,3810.78756322,,,,1736076358.0753772,,
141,,,,,243079,,,,,,,,,2.0,3813.646093371,,,,1736076360.9339085,,
142,,,,,243295,,,,,,,,,2.0,3814.188698816,,,,1736076361.4765155,,
143,,,,,244009,,,,,,,,,2.0,3815.572688077,,,,1736076362.8604965,,
144,,,,,245285,,,,,,,,,2.0,3818.119502449,,,,1736076365.4073145,,
145,,,,,245776,,,,,,,,,2.0,3819.069149588,,,,1736076366.356963,,
146,,,,,247865,,,,,,,,,2.0,3823.45896387,,,,1736076370.7467728,,
147,,,,,248748,,,,,,,,,2.0,3825.170667944,,,,1736076372.4584801,,
148,,,,,250449,,,,,,,,,2.0,3828.657249513,,,,1736076375.9450707,,
149,,,,,250617,,,,,,,,,2.0,3829.09491892,,,,1736076376.3827336,,
150,,,,,251053,,,,,,,,,3.0,3829.977137573,,,,1736076377.2649465,,
151,,,,,252822,,,,,,,,,2.0,3833.655305692,,,,1736076380.9431314,,
152,,,,,253494,,,,,,,,,2.0,3834.966582012,,,,1736076382.2543962,,
153,,,,,255401,,,,,,,,,2.0,3838.905682263,,,,1736076386.1934936,,
154,,,,,255593,,,,,,,,23247.0,,3839.29267397,,,,1736076386.5805027,,
155,,,,,257299,,,,,,,,,3.0,3842.770428308,,,,1736076390.0582209,,
156,,,,,259062,,,,,,,,,3.0,3846.373408678,,,,1736076393.6612136,,
157,,,,,265887,,,,,,,,,3.0,3860.177730851,,,,1736076407.465542,,
158,,,,,269174,,,,,,,,,2.0,3866.929311136,,,,1736076414.2171233,,
159,,,,,271476,,,,,,,,,2.0,3871.580826002,,,,1736076418.868643,,
160,,,,,273120,,,,,,,,,2.0,3875.057131161,,,,1736076422.3449464,,
161,,,,,277955,,,,,,,,,2.0,3884.890012539,,,,1736076432.1778212,,
162,,,,,278842,,,,,,,,,2.0,3886.820719349,,,,1736076434.1085303,,
163,,,,,281149,,,,,,,,,2.0,3891.44381817,,,,1736076438.7316275,,
164,,,,,281968,,,,,,,,,2.0,3893.057712521,,,,1736076440.3455188,,
165,,,,,282503,,,,,,,,,2.0,3894.21882658,,,,1736076441.5066383,,
166,,,,,284884,,,,,,,,,2.0,3899.034428294,,,,1736076446.3222337,,
167,,,,,286867,,,,,,,,,2.0,3902.975380301,,,,1736076450.2631927,,
168,,,,,287074,,,,,,,,,2.0,3903.491783074,,,,1736076450.779593,,
169,,,,,288206,,,,,,,,,2.0,3905.689463657,,,,1736076452.9772706,,
170,,,,,289616,,,,,,,,,2.0,3908.655977041,,,,1736076455.9437854,,
171,,,,,289806,,,,,,,,,3.0,3909.024803014,,,,1736076456.3126147,,
172,,,,,290629,,,,,,,,,3.0,3910.570226629,,,,1736076457.858035,,
173,,,,,291321,,,,,,,,,2.0,3912.023726268,,,,1736076459.3115396,,
174,,,,,293624,,,,,,,,,2.0,3916.646533489,,,,1736076463.934346,,
175,,,,,294010,,,,,,,,,3.0,3917.513562102,,,,1736076464.801367,,
176,,,,,294450,,,,,,,,,2.0,3918.365325817,,,,1736076465.6531372,,
177,,,,,295108,,,,,,,,,3.0,3919.640280091,,,,1736076466.9280825,,
178,,,,,295478,,,,,,,,,1.0,3920.314242646,,,,1736076467.6020515,,
