,Win_Rate/self_play,depth_fre/game_iter_50,resource/width,resource/width_ratio,_step,resource/total_resource_usage,_timestamp,entropy,depth_fre/game_iter_10,resource/remain_resource,resource/depth,depth_fre/game_iter_31,resource/remain_resource_ratio,resource/depth_resource_usage,Win_Rate/Evaluate,resource/depth_ratio,depth_fre/game_iter_1,depth_fre/game_iter_20,resource/width_resource_usage,depth_fre/game_iter_100,_runtime,loss
69,,,1863.0,0.9589420654911839,47420,3969.0,1736276951.2584932,,,1863.0,81.0,,0.3194444444444444,162.0,,0.040806045340050376,,,3807.0,,260.0032391548157,
70,,,2349.0,0.9670174018615945,49127,4941.0,1736276962.6928937,,,891.0,81.0,,0.1527777777777778,162.0,,0.032780250910562525,,,4779.0,,271.43763971328735,
71,,,2187.0,0.96407317610756,50902,4536.0,1736276974.6599576,,,1296.0,81.0,,0.2222222222222222,162.0,,0.035706413929909635,,,4374.0,,283.40470361709595,
72,,,2025.0,0.9613102302397342,51319,4212.0,1736276976.9755762,,,1620.0,81.0,,0.2777777777777778,162.0,,0.03845240920958937,,,4050.0,,285.7203221321106,
73,,,1458.0,0.9480740583102788,52230,4698.0,1736276982.4315758,,,1134.0,81.0,,0.19444444444444445,243.0,,0.05171313045328793,,,4455.0,,291.1763217449188,
74,,,2268.0,0.9658995815899581,52721,4779.0,1736276985.3655753,,,1053.0,81.0,,0.18055555555555555,162.0,,0.033891213389121336,,,4617.0,,294.11032128334045,
75,,,1377.0,0.9452423698384201,52990,4455.0,1736276987.000575,,,1377.0,81.0,,0.2361111111111111,243.0,,0.05453321364452424,,,4212.0,,295.74532103538513,
76,,,1296.0,0.9418604651162791,53288,5589.0,1736276989.3005767,,,243.0,81.0,,0.041666666666666664,324.0,,0.057960644007155636,,,5265.0,,298.04532265663147,
77,,,1377.0,0.9452423698384201,54524,4455.0,1736276996.996623,,,1377.0,81.0,,0.2361111111111111,243.0,,0.05453321364452424,,,4212.0,,305.74136900901794,
78,,,2835.0,0.9718889269797737,54994,2916.0,1736277000.1318862,,,2916.0,81.0,,0.5,81.0,,0.027768255056564963,,,2835.0,,308.87663221359253,
79,,,2187.0,0.9647033347769597,55552,4617.0,1736277003.4557924,,,1215.0,81.0,,0.20833333333333334,162.0,,0.035080121264616716,,,4455.0,,312.2005383968353,
80,,,2025.0,0.9620400558919422,56162,4293.0,1736277007.351984,,,1539.0,81.0,,0.2638888888888889,162.0,,0.03772706101537028,,,4131.0,,316.0967299938202,
81,,,1782.0,0.9569740786457415,57340,5670.0,1736277015.5780354,,,162.0,81.0,,0.027777777777777776,243.0,,0.04284958561100335,,,5427.0,,324.3227813243866,
82,,,2592.0,0.9699705232129698,57941,5427.0,1736277019.1073294,,,405.0,81.0,,0.06944444444444445,162.0,,0.02984524686809138,,,5265.0,,327.85207533836365,
83,,,2430.0,0.968064263322884,57943,5103.0,1736277019.1203303,,,729.0,81.0,,0.125,162.0,,0.031739811912225704,,,4941.0,,327.86507630348206,
