,planning_depth/game_iter_1,resource/width_resource_usage,planning_depth/game_iter_10,_runtime,resource/depth_resource_usage,resource/total_planning_depth,resource/width_ratio,planning_depth/game_iter_31,entropy,resource/width,Win_Rate/self_play,resource/depth,loss,_step,resource/depth_ratio,planning_depth/game_iter_50,Win_Rate/Evaluate,resource/total_resource_usage,_timestamp,planning_depth/game_iter_20,planning_depth/game_iter_100
99,,,2.0,4030.346854264,,,,,,,,,,271599.0,,,,,1736098788.914723,,
100,,,3.0,4030.687993083,,,,,,,,,,271753.0,,,,,1736098789.2558622,,
101,,,3.0,4040.43170686,,,,,,,,,,276121.0,,,,,1736098798.9995773,,
102,,,2.0,4044.516423798,,,,,,,,,,277910.0,,,,,1736098803.0842872,,
103,,,2.0,4048.856248097,,,,,,,,,,279839.0,,,,,1736098807.424118,,
104,,,2.0,4052.04308791,,,,,,,,,,281267.0,,,,,1736098810.6109555,,
105,,,3.0,4057.645926582,,,,,,,,,,283751.0,,,,,1736098816.213799,,
106,,,3.0,4058.092447659,,,,,,,,,,283961.0,,,,,1736098816.6603084,,
107,,,2.0,4067.457259574,,,,,,,,,,288200.0,,,,,1736098826.0251207,,
108,,,2.0,4071.910890872,,,,,,,,,,290146.0,,,,,1736098830.4787598,,
109,,,3.0,4073.355203906,,,,,,,,,,290818.0,,,,,1736098831.923075,,
110,,,2.0,4089.747110126,,,,,,,,,,298106.0,,,,,1736098848.3149886,,
111,,,3.0,4095.863430711,,,,,,,,,,300796.0,,,,,1736098854.431286,,
112,,,2.0,4099.359746153,,,,,,,,,,302398.0,,,,,1736098857.927622,,
113,,,3.0,4108.035356562,,,,,,,,,,306275.0,,,,,1736098866.603217,,
114,,245754.0,,4109.797935466,8100.0,100.0,0.9680918953414167,,,2430.0,,81.0,,307060.0,0.03190810465858328,,,253854.0,1736098868.3657467,,
115,,,3.0,4114.437272269,,,,,,,,,,309160.0,,,,,1736098873.00514,,
116,,,3.0,4121.546408878,,,,,,,,,,312360.0,,,,,1736098880.1142812,,
117,,,2.0,4131.213574438,,,,,,,,,,316681.0,,,,,1736098889.7814443,,
118,,,3.0,4138.559084427,,,,,,,,,,319986.0,,,,,1736098897.1269534,,
119,,,3.0,4138.908724104,,,,,,,,,,320155.0,,,,,1736098897.476595,,
120,,,3.0,4142.111278389,,,,,,,,,,321597.0,,,,,1736098900.679142,,
121,,,3.0,4148.856632627,,,,,,,,,,324697.0,,,,,1736098907.424499,,
122,,,2.0,4150.692701278,,,,,,,,,,325527.0,,,,,1736098909.2605712,,
123,,,3.0,4152.051537405,,,,,,,,,,326113.0,,,,,1736098910.6194077,,
124,,,3.0,4153.689497074,,,,,,,,,,326834.0,,,,,1736098912.2573552,,
125,,,3.0,4159.987758684,,,,,,,,,,329695.0,,,,,1736098918.5556219,,
126,,,3.0,4167.222232188,,,,,,,,,,333006.0,,,,,1736098925.7900996,,
127,,,4.0,4170.914217743,,,,,,,,,,334591.0,,,,,1736098929.4820783,,
128,,,3.0,4179.79340001,,,,,,,,,,338523.0,,,,,1736098938.3612375,,
129,,,3.0,4190.125082671,,,,,,,,,,343196.0,,,,,1736098948.692951,,
130,,,2.0,4192.374478813,,,,,,,,,,344220.0,,,,,1736098950.9423509,,
131,,,1.0,4193.155291256,,,,,,,,,,344598.0,,,,,1736098951.7231574,,
132,,,1.0,4196.56969874,,,,,,,,,,346128.0,,,,,1736098955.13757,,
133,,,3.0,4199.128114575,,,,,,,,,,347338.0,,,,,1736098957.6959774,,
134,,,2.0,4205.466476611,,,,,,,,,,350227.0,,,,,1736098964.034342,,
135,,,3.0,4206.989455191,,,,,,,,,,350973.0,,,,,1736098965.5573182,,
136,,,3.0,4216.140643889,,,,,,,,,,355020.0,,,,,1736098974.4836543,,
137,,,2.0,4220.869905122,,,,,,,,,,357250.0,,,,,1736098979.4377706,,
138,,,3.0,4221.144654705,,,,,,,,,,357386.0,,,,,1736098979.7125251,,
139,,,3.0,4221.188805543,,,,,,,,,,357405.0,,,,,1736098979.756668,,
140,,,,4223.74022453,,,,,,,,,,358571.0,,,,145719.0,1736098982.3081017,,
141,,,3.0,4224.983486629,,,,,,,,,,359161.0,,,,,1736098983.5513492,,
142,,,,4384.815586019,,,,,,,,,,367244.0,,,,196263.0,1736099143.3834295,,
143,,180306.0,,4718.334034669,8100.0,100.0,0.9570077386070507,,,1782.0,,81.0,,370333.0,0.04299226139294927,,,188406.0,1736099476.901788,,
144,,,,5074.541404769,,,,,,,,,,373657.0,,,,212949.0,1736099833.109247,,
145,,,,5227.103358678,,,,,,,,,,375084.0,,,,204768.0,1736099985.6712031,,
146,,245754.0,,5833.48650782,8100.0,100.0,0.9680918953414167,,,2430.0,,81.0,,380732.0,0.03190810465858328,,,253854.0,1736100592.05424,,
147,,,,6060.433980994,,,,,,,,,,382840.0,,,,110808.0,1736100819.0018384,,
148,,,,6146.175793269,,,,,,,,,,383634.0,,,,261954.0,1736100904.7436254,,
149,,,,6251.885735426,,,,,,,,,,384612.0,,,,185085.0,1736101010.4535956,,
150,,,,6462.301704472,,,,,,,,,,386577.0,,,,270216.0,1736101220.8695579,,
151,,110727.0,,6823.8338331,8100.0,100.0,0.9318336741649625,,,1134.0,,81.0,,389963.0,0.0681663258350375,,,118827.0,1736101582.4015832,,
152,,278478.0,,6950.875572067,8100.0,100.0,0.971735443753533,,,2754.0,,81.0,,391143.0,0.02826455624646693,,,286578.0,1736101709.4433384,,
153,,,,7329.4212417,,,,,,,,,,394647.0,,,,253773.0,1736102087.9890895,,
154,,,,7509.296288691,,,,,,,,,,396303.0,,,,212787.0,1736102267.8641682,,
